date,start_time,file,temp.start,temp.end,press,Light_dark,Code,cham.vol
25/05/2024,10:11:00,171214Z,24,24,102,light,171214,0.009
25/05/2024,10:18:00,171636Z,24,24,102,dark,171636,0.009
25/05/2024,10:57:00,175716Z,21.6,21.9,102,light,175716,0.030
25/05/2024,11:06:00,180646Z,21,21.1,102,dark,180646,0.030
25/05/2024,10:40:00,174038Z,21.3,22.1,102,light,174038,0.029
25/05/2024,10:47:00,174705Z,21.6,21.6,102,dark,174705,0.029
25/05/2024,11:24:00,182433Z,22.6,22.5,102,light,182433,0.029
25/05/2024,11:42:00,183247Z,22,21.5,102,dark,183247,0.029
25/05/2024,11:42:00,184248Z,21.9,21.5,102,light,184248,0.009
25/05/2024,11:52:00,185207Z,21.5,21.9,102,dark,185207,0.009
25/05/2024,12:06:00,190712Z,21.5,21.5,102,light,190712,0.030
25/05/2024,12:17:00,191700Z,21.5,21.2,102,dark,191700,0.030
25/05/2024,13:09:00,201508Z,26.8,26.1,102,light,201508,0.029
25/05/2024,13:16:00,201651Z,25.1,23.9,102,dark,201651,0.029
25/05/2024,13:39:00,203939Z,28.5,27.7,102,light,203939,0.029
25/05/2024,13:47:00,204632Z,28.5,27.3,102,dark,204632,0.029
25/05/2024,15:01:00,220158Z,24.7,24.7,102,light,220158,0.009
25/05/2024,15:08:00,220804Z,24.6,24.6,102,dark,220804,0.009
25/05/2024,15:15:00,221533Z,26.7,28.6,102,light,221533,0.030
25/05/2024,15:20:00,222034Z,28,28,102,dark,222034,0.030
25/05/2024,15:34:00,223430Z,25.9,25.4,102,light,223430,0.030
25/05/2024,15:40:00,224022Z,25.1,25.1,102,dark,224022,0.030
25/05/2024,15:53:00,225718Z,25.8,25.8,102,light,225718,0.030
25/05/2024,16:00:00,225957Z,24,24,102,dark,225957,0.030
25/05/2024,17:20:00,002036Z,24.8,24,102,light,2036,0.009
25/05/2024,17:26:00,002612Z,25.9,27.3,102,dark,2612,0.009
25/05/2024,17:02:00,000222Z,28,28,102,light,222,0.030
25/05/2024,17:08:00,000837Z,28,26,102,dark,837,0.030
25/05/2024,16:44:00,234437Z,27.8,25.8,102,light,234437,0.030
25/05/2024,16:50:00,235004Z,25.4,24.6,102,dark,235004,0.030
25/05/2024,16:24:00,232411Z,28,28,102,light,232411,0.030
25/05/2024,16:33:00,233316Z,28,28,102,dark,233316,0.030
27/05/2024,11:06:00,180643Z,21.6,18.1,102,dark,180643,0.009
27/05/2024,09:26:00,162654Z,18,18.5,102,light,162654,0.030
27/05/2024,09:34:00,163407Z,18,18.5,102,dark,163407,0.030
27/05/2024,10:19:00,171908Z,20,21.5,102,light,171908,0.030
27/05/2024,10:25:00,172552Z,21.5,21.1,102,dark,172552,0.030
27/05/2024,10:41:00,174109Z,22.3,22,102,light,174109,0.030
27/05/2024,10:49:00,174911Z,21.3,21.3,102,dark,174911,0.030
27/05/2024,11:38:00,183804Z,21.6,18.1,102,dark,183804,0.009
27/05/2024,11:51:00,185109Z,19.5,24.5,102,light,185109,0.030
27/05/2024,11:59:00,185930Z,23.3,22.5,102,dark,185930,0.030
27/05/2024,12:56:00,195630Z,21.8,21.8,102,light,195630,0.030
27/05/2024,13:04:00,200412Z,26,26,102,dark,200412,0.030
27/05/2024,13:23:00,202312Z,23.2,23.6,102,light,202312,0.030
27/05/2024,13:31:00,203152Z,22,23,102,dark,203152,0.030
28/05/2024,10:24:00,172407Z,17.1,17.1,101,dark,172407,0.009
28/05/2024,10:40:00,174056Z,18,18.1,101,light,174056,0.030
28/05/2024,10:54:00,175322Z,18.1,18.1,101,dark,175322,0.030
28/05/2024,11:13:00,181309Z,17.6,17.8,101,light,181309,0.030
28/05/2024,11:26:00,182639Z,17.4,17.4,101,dark,182639,0.030
28/05/2024,11:40:00,183935Z,18.1,18.1,101,light,183935,0.029
28/05/2024,11:52:00,185204Z,17.7,17.7,101,dark,185204,0.029
28/05/2024,12:54:00,195405Z,18.6,18.6,101,dark,195405,0.009
28/05/2024,13:05:00,200541Z,19.8,20.5,101,light,200541,0.030
28/05/2024,13:12:00,201231Z,20.1,20.1,101,dark,201231,0.030
28/05/2024,13:26:00,202606Z,24.8,29.2,101,light,202606,0.030
28/05/2024,13:33:00,203342Z,31,26.6,101,dark,203342,0.030
28/05/2024,13:47:00,204702Z,26.3,25,101,light,204702,0.030
28/05/2024,13:54:00,205409Z,25,23.8,101,dark,205409,0.030
29/05/2024,12:00:00,190045Z,15.8,15.8,101,dark,190045,0.009
29/05/2024,12:16:00,191621Z,17.1,17.1,101,light,191621,0.030
